# inputconv.txt
# used to generate xletters's input conversion tables. Must be saved
# in UTF-8 encoding.
# parts taken from a file by Jim Breen
##################################################################
#   Any line beginning with a # is a comment.
# Each data line must contain a pair matching an arbitrary Unicode
# string (1st column) with an ASCII string (second column), separated
# by one or more spaces. The rest of the line is a comment. The ASCII
# part indicates what has to be typed to represent the Unicode string. 
# Order doesn't matter, empty lines are allowed.
##################################################################

# ----------------- Western European ------------------
#compositing table for western european letters (incomplete)

# 0x00c0 to 0x00fc
À `A
んみぇ mmye
んみょ mmyo
んむ mmu
んめ mme
んも mmo
# n inside a word need not be doubled
んか nka
んが nga
んき nki
んきゃ nkya
んきゅ nkyu
んきぇ nkye
んきょ nkyo
んぎ ngi
んぎゃ ngya
んぎゅ ngyu
んぎぇ ngye
んぎょ ngyo
んく nku
んぐ ngu
んけ nke
んげ nge
んこ nko
んご ngo
んさ nsa
んざ nza
んし nshi
んし nsi
んし nsyi
んしゃ nsha
んしゃ nsya
んしゅ nshu
んしゅ nsyu
んしぇ nshe
んしぇ nsye
んしょ nsho
んしょ nsyo
んじ nji
んじ njyi
んじゃ nja
んじゃ njya
んじゅ nju
んじゅ njyu
んじぇ nje
んじぇ njye
んじょ njo
んじょ njyo
んす nsu
んず nzu
んずぃ nzi
んせ nse
んぜ nze
んそ nso
んぞ nzo
んた nta
んだ nda
んち nchi
んち ncyi
んち nti
んち ntyi
んちゃ ncha
んちゃ ncya
んちゃ ntya
んちゅ nchu
んちゅ ncyu
んちゅ ntyu
んちぇ nche
んちぇ ncye
んちぇ ntye
んちょ ncho
んちょ ncyo
んちょ ntyo
んぢ ndzi
んぢ ndji
んぢゃ ndza
んぢゃ ndja
んぢゅ ndzu
んぢゅ ndju
んぢぇ ndze
んぢぇ ndje
んぢょ ndzo
んぢょ ndjo
んつ ntsu
んつ ntu
んつぁ ntsa
んつぇ ntse
んつぉ ntso
んづ ndzu
んづ ndu
んて nte
んてぃ nti (note that ti is also used by kunrei ti=chi above)
んてゃ ntya
んてゅ ntyu
んてょ ntyo
んで nde
んでぃ ndi
んでゃ ndya
んでゅ ndyu
んでぇ ndye
んでょ ndyo
んと nto
んど ndo
んどぅ ndu
# the following is never matched if nn already matches ん (see above)
# it doesn't hurt to leave the lines in though
# comment the "ん nn" line above if you prefer to have these
んな nna
んに nni
んにゃ nnya
んにゅ nnyu
んにぇ nnye
んにょ nnyo
んぬ nnu
んね nne
んの nno
んは nha
んば nba
んぱ npa
んひ nhi
んひゃ nhya
んひゅ nhyu
んひぇ nhye
んひょ nhyo
んび nbi
んびゃ nbya
んびゅ nbyu
んびぇ nbye
んびょ nbyo
んぴ npi
んぴゃ npya
んぴゅ npyu
んぴぇ npye
んぴょ npyo
んふ nfu
んふ nhu
んふぁ nfa
んふぃ nfi
んふぇ nfe
んふぉ nfo
んふゃ nfya
んふゅ nfyu
んふぇ nfye
んふょ nfyo
んぶ nbu
んぷ npu
んへ nhe
んべ nbe
んぺ npe
んほ nho
んぼ nbo
んぽ npo
んま nma
んみ nmi
んみゃ nmya
んみゅ nmyu
んみぇ nmye
んみょ nmyo
んむ nmu
んめ nme
んも nmo
んや nya
んゆ nyu
んよ nyo
んら nra
んら nla
んり nri
んり nli
んりゃ nrya
んりゃ nlya
んりゅ nryu
んりゅ nlyu
んりぇ nrye
んりぇ nlye
んりょ nryo
んりょ nlyo
んる nru
んる nlu
んれ nre
んれ nle
んろ nro
んろ nlo
んわ nwa
んゐ nwi
んゑ nwe
んを nwo
########################################

$katakana table
ァ xa
ア a
ィ xi
イ i
ゥ xu
ウ u
ェ xe
エ e
エ ye
ォ xo
オ o
カ ka
ガ ga
キ ki
キャ kya
キュ kyu
キェ kye
キョ kyo
ギ gi
ギャ gya
ギュ gyu
ギェ gye
ギョ gyo
ク ku
グ gu
ケ ke
ゲ ge
コ ko
ゴ go
サ sa
ザ za
シ shi
シ si
シ syi
シャ sha
シャ sya
シュ shu
シュ syu
シェ she
シェ sye
ショ sho
ショ syo
ジ ji
ジ jyi
ジャ ja
ジャ jya
ジュ ju
ジュ jyu
ジェ je
ジェ jye
ジョ jo
ジョ jyo
ス su
ズ zu
ズィ zi
セ se
ゼ ze
ソ so
ゾ zo
タ ta
ダ da
チ chi
チ cyi
チ ti
チ tyi
チャ cha
チャ cya
チャ tya
チュ chu
チュ cyu
チュ tyu
チェ che
チェ cye
チェ tye
チョ cho
チョ cyo
チョ tyo
ヂ dzi
ヂ dji
ヂャ dza
ヂャ dja
ヂュ dzu cf. ヅ dzu
ヂュ dju
ヂェ dze
ヂェ dje
ヂョ dzo
ヂョ djo
ッ *
ッ t-
ッチ tchi
ッチャ tcha
ッチュ tchu
ッチェ tche
ッチョ tcho
ツ tsu
ツ tu
ツァ tsa
ツェ tse
ツォ tso
ヅ dzu cf. ヂュ dzu
ヅ du
テ te
ティ ti (note that ti is also used by kunrei ti=chi above)
テャ tya
テュ tyu
テョ tyo
デ de
ディ di
デャ dya
デュ dyu
デェ dye
デョ dyo
ト to
ド do
ドゥ du
ナ na
ニ ni
ニャ nya
ニュ nyu
ニェ nye
ニョ nyo
ヌ nu
ネ ne
ノ no
ハ ha
バ ba
パ pa
ヒ hi
ヒャ hya
ヒュ hyu
ヒェ hye
ヒョ hyo
ビ bi
ビャ bya
ビュ byu
ビェ bye
ビョ byo
ピ pi
ピャ pya
ピュ pyu
ピェ pye
ピョ pyo
フ fu
フ hu
ファ fa
フィ fi
フェ fe
フォ fo
フャ fya
フュ fyu
フェ fye
フョ fyo
ブ bu
プ pu
ヘ he
ベ be
ペ pe
ホ ho
ボ bo
ポ po
マ ma
ミ mi
ミャ mya
ミュ myu
ミェ mye
ミョ myo
ム mu
メ me
モ mo
ャ xya
ヤ ya
ュ xyu
ユ yu
ョ xyo
ヨ yo
ラ ra
リ ri
リャ rya
リュ ryu
リェ rye
リョ ryo
ル ru
レ re
ロ ro
ヮ xwa
ワ wa
ヰ wi
ヱ we
ヲ wo
ン n'
ン q
ン nn
ヴ vu
ヴァ va
ヴィ vi
ヴェ ve
ヴォ vo
ヵ xka
ヶ xke
# double consonnant for preceding small tsu
ッカ kka
ッキ kki
ッキャ kkya
ッキュ kkyu
ッキェ kkye
ッキョ kkyo
ック kku
ッケ kke
ッコ kko
ッサ ssa
ッシ sshi
ッシ ssi
ッシ ssyi
ッシャ ssha
ッシャ ssya
ッシュ sshu
ッシュ ssyu
ッシェ sshe
ッシェ ssye
ッショ ssho
ッショ ssyo
ッス ssu
ッセ sse
ッソ sso
ッタ tta
ッチ cchi
ッチ ccyi
ッチ tti
ッチ ttyi
ッチャ ccha
ッチャ ccya
ッチャ ttya
ッチュ cchu
ッチュ ccyu
ッチュ ttyu
ッチェ cche
ッチェ ccye
ッチェ ttye
ッチョ ccho
ッチョ ccyo
ッチョ ttyo
ッッチ ttchi
ッッチャ ttcha
ッッチュ ttchu
ッッチェ ttche
ッッチョ ttcho
ッツ ttsu
ッツ ttu
ッツァ ttsa
ッツェ ttse
ッツォ ttso
ッテ tte
ッティ tti (note that ti is also used by kunrei ti=chi above)
ッテャ ttya
ッテュ ttyu
ッテョ ttyo
ット tto
ッバ bba
ッパ ppa
ッビ bbi
ッビャ bbya
ッビュ bbyu
ッビェ bbye
ッビョ bbyo
ッピ ppi
ッピャ ppya
ッピュ ppyu
ッピェ ppye
ッピョ ppyo
ッブ bbu
ップ ppu
ッベ bbe
ッペ ppe
ッボ bbo
ッポ ppo
# there is no small-tsu in front of m{aiueo}, but n plays the role
ンマ mma
ンミ mmi
ンミャ mmya
ンミュ mmyu
ンミェ mmye
ンミョ mmyo
ンム mmu
ンメ mme
ンモ mmo
# n inside a word need not be doubled
ンカ nka
ンガ nga
ンキ nki
ンキャ nkya
ンキュ nkyu
ンキェ nkye
ンキョ nkyo
ンギ ngi
ンギャ ngya
ンギュ ngyu
ンギェ ngye
ンギョ ngyo
ンク nku
ング ngu
ンケ nke
ンゲ nge
ンコ nko
ンゴ ngo
ンサ nsa
ンザ nza
ンシ nshi
ンシ nsi
ンシ nsyi
ンシャ nsha
ンシャ nsya
ンシュ nshu
ンシュ nsyu
ンシェ nshe
ンシェ nsye
ンショ nsho
ンショ nsyo
ンジ nji
ンジ njyi
ンジャ nja
ンジャ njya
ンジュ nju
ンジュ njyu
ンジェ nje
ンジェ njye
ンジョ njo
ンジョ njyo
ンス nsu
ンズ nzu
ンズィ nzi
ンセ nse
ンゼ nze
ンソ nso
ンゾ nzo
ンタ nta
ンダ nda
ンチ nchi
ンチ ncyi
ンチ nti
ンチ ntyi
ンチャ ncha
ンチャ ncya
ンチャ ntya
ンチュ nchu
ンチュ ncyu
ンチュ ntyu
ンチェ nche
ンチェ ncye
ンチェ ntye
ンチョ ncho
ンチョ ncyo
ンチョ ntyo
ンヂ ndzi
ンヂ ndji
ンヂャ ndza
ンヂャ ndja
ンヂュ ndzu cf. ヅ dzu
ンヂュ ndju
ンヂェ ndze
ンヂェ ndje
ンヂョ ndzo
ンヂョ ndjo
ンツ ntsu
ンツ ntu
ンツァ ntsa
ンツェ ntse
ンツォ ntso
ンヅ ndzu cf. ヂュ dzu
ンヅ ndu
ンテ nte
ンティ nti (note that ti is also used by kunrei ti=chi above)
ンテャ ntya
ンテュ ntyu
ンテョ ntyo
ンデ nde
ンディ ndi
ンデャ ndya
ンデュ ndyu
ンデェ ndye
ンデョ ndyo
ント nto
ンド ndo
ンドゥ ndu
ン# the following is never matched if nn already matches ん (see above)
ン# it doesn't hurt to leave the lines in though
ン# comment the "ん nn" line above if you prefer to have these
ンナ nna
ンニ nni
ンニャ nnya
ンニュ nnyu
ンニェ nnye
ンニョ nnyo
ンヌ nnu
ンネ nne
ンノ nno
ンハ nha
ンバ nba
ンパ npa
ンヒ nhi
ンヒャ nhya
ンヒュ nhyu
ンヒェ nhye
ンヒョ nhyo
ンビ nbi
ンビャ nbya
ンビュ nbyu
ンビェ nbye
ンビョ nbyo
ンピ npi
ンピャ npya
ンピュ npyu
ンピェ npye
ンピョ npyo
ンフ nfu
ンフ nhu
ンファ nfa
ンフィ nfi
ンフェ nfe
ンフォ nfo
ンフャ nfya
ンフュ nfyu
ンフェ nfye
ンフョ nfyo
ンブ nbu
ンプ npu
ンヘ nhe
ンベ nbe
ンペ npe
ンホ nho
ンボ nbo
ンポ npo
ンマ nma
ンミ nmi
ンミャ nmya
ンミュ nmyu
ンミェ nmye
ンミョ nmyo
ンム nmu
ンメ nme
ンモ nmo
ンヤ nya
ンユ nyu
ンヨ nyo
ンラ nra
ンラ nla
ンリ nri
ンリ nli
ンリャ nrya
ンリャ nlya
ンリュ nryu
ンリュ nlyu
ンリェ nrye
ンリェ nlye
ンリョ nryo
ンリョ nlyo
ンル nru
ンル nlu
ンレ nre
ンレ nle
ンロ nro
ンロ nlo
ンワ nwa
ンヰ nwi
ンヱ nwe
ンヲ nwo
ンヴ nvu
ンヴァ nva
ンヴィ nvi
ンヴェ nve
ンヴォ nvo

########################################

# common japanese symbols
、 , 	U+3001 IDEOGRAPHIC COMMA
。 . 	U+3002 IDEOGRAPHIC FULL STOP
々 + 	U+3005 IDEOGRAPHIC ITERATION MARK
〈 < 	U+3008 LEFT ANGLE BRACKET
〉 > 	U+3009 RIGHT ANGLE BRACKET
《 { 	U+300A LEFT DOUBLE ANGLE BRACKET
》 } 	U+300B RIGHT DOUBLE ANGLE BRACKET
「 ( 	U+300C LEFT CORNER BRACKET
」 ) 	U+300D RIGHT CORNER BRACKET
『 [ 	U+300E LEFT WHITE CORNER BRACKET
』 ] 	U+300F RIGHT WHITE CORNER BRACKET
・ . 	U+30FB KATAKANA MIDDLE DOT
ー - 	U+30FC KATAKANA-HIRAGANA PROLONGED SOUND
ヽ + 	U+30FE KATAKANA ITERATION MARK
ヾ + 	U+30FF KATAKANA VOICED ITERATION MARK

$large ASCII
！ !
” "
＃ #
＄ $
％ %
＆ &
′ '
（ (
） )
＊ *
＋ +
、 ,
ー -
。 .
／ /
０ 0
１ 1
２ 2
３ 3
４ 4
５ 5
６ 6
７ 7
８ 8
９ 9
： :
； ;
＜ <
＝ =
＞ >
？ ?
＠ @
Ａ A
Ｂ B
Ｃ C
Ｄ D
Ｅ E
Ｆ F
Ｇ G
Ｈ H
Ｉ I
Ｊ J
Ｋ K
Ｌ L
Ｍ M
Ｎ N
Ｏ O
Ｐ P
Ｑ Q
Ｒ R
Ｓ S
Ｔ T
Ｕ U
Ｖ V
Ｗ W
Ｘ X
Ｙ Y
Ｚ Z
［ [
\ \
］ ]
＾ ^
＿ _
｀ `
ａ a
ｂ b
ｃ c
ｄ d
ｅ e
ｆ f
ｇ g
ｈ h
ｉ i
ｊ j
ｋ k
ｌ l
ｍ m
ｎ n
ｏ o
ｐ p
ｑ q
ｒ r
ｓ s
ｔ t
ｕ u
ｖ v
ｗ w
ｘ x
ｙ y
ｚ z
｛ {
｜ |
｝ }
〜 ~
